id,image
christian-benford,"https://www.maddenratings.com/wp-content/uploads/christian-benford-22487-madden-photo.png"
khalil-shakir,"https://www.maddenratings.com/wp-content/uploads/khalil-shakir-22074-madden-photo.png"
cole-bishop,"https://www.maddenratings.com/wp-content/uploads/cole-bishop-14958-madden-photo.png"
joe-fagnano,"https://www.maddenratings.com/wp-content/uploads/madden-nfl-player.png"
bradley-chubb,"https://www.maddenratings.com/wp-content/uploads/bradley-chubb-13079-madden-photo.png"
maxwell-hairston,"https://www.maddenratings.com/wp-content/uploads/maxwell-hairston-15328-madden-photo.png"
geno-stone,"https://www.maddenratings.com/wp-content/uploads/geno-stone-21018-madden-photo.png"
austin-corbett,"https://www.maddenratings.com/wp-content/uploads/austin-corbett-13177-madden-photo.png"
dawson-knox,"https://www.maddenratings.com/wp-content/uploads/dawson-knox-20523-madden-photo.png"
mike-danna,"https://www.maddenratings.com/wp-content/uploads/mike-danna-21231-madden-photo.png"
tj-parker,"https://www.maddenratings.com/wp-content/uploads/tj-parker-16266.png"
dee-alford,"https://www.maddenratings.com/wp-content/uploads/dee-alford-22628-madden-photo.png"
cj-gardner-johnson,"https://www.maddenratings.com/wp-content/uploads/cj-gardner-johnson-20621-madden-photo.png"
josh-palmer,"https://www.maddenratings.com/wp-content/uploads/joshua-palmer-21615-madden-photo.png"
keon-coleman,"https://www.maddenratings.com/wp-content/uploads/keon-coleman-14646-madden-photo.png"
lloyd-cushenberry-iii,"https://www.maddenratings.com/wp-content/uploads/lloyd-cushenberry-iii-20974-madden-photo.png"
ocyrus-torrence,"https://www.maddenratings.com/wp-content/uploads/ocyrus-torrence-22852-madden-photo.png"
michael-hoecht,"https://www.maddenratings.com/wp-content/uploads/michael-hoecht-21386-madden-photo.png"
ray-davis,"https://www.maddenratings.com/wp-content/uploads/ray-davis-14626-madden-photo.png"
mitch-wishnowsky,"https://www.maddenratings.com/wp-content/uploads/mitch-wishnowsky.png"
ty-johnson,"https://www.maddenratings.com/wp-content/uploads/ty-johnson-20734-madden-photo.png"
landon-jackson,"https://www.maddenratings.com/wp-content/uploads/landon-jackson-15174-madden-photo.png"
